department,sub_department,department_id,category,sub_category,micro_category,title,description,skill_code,related_skills,bussiness_links,custom_tags,proficiency_level,assesment_method,certification_qualifications,experience_project,skill_status,skill_importance,legal_compliance_relevance,sop_practice_link,performance_metrics,common_errors_tips,sme_contacts,sub_skills,skill_flow,tasklist,status,approve_status,sub_institute_id,created_by,created_at,proficiency_level_encoded,related_skills_parsed,skill_importance_encoded
Product Development,Product Development,983.0,technical skills,digital-technology related skills,Design and Architecture,Software Design,"Create and refine the overall plan for the design of software, including the design of functional specifications starting from the defined business requirements as well as the consideration and incorporation of various controls, functionality and interoperability of different elements into a design blueprint or model which describes the overall architecture in hardware, software, databases, and third party frameworks that the software will use or interact with",ICT-DES-3005-1.1,"[""System Architecture"","" Design Patterns"","" UML""]",https://en.wikipedia.org/wiki/Software_design,"[""Software Design"","" Architecture"","" Design Patterns""]",4.0,"Design documentation, Code reviews","IEEE CSDP, iSAQB CPSA",Designing software for a Indian e-commerce platform,High-demand,Medium,Must ensure software quality as per ISO IEC 25010 standards,https://www.iso.org,"Code quality, System performance, Maintainability","Ignoring non-functional requirements, Over-engineering, Poor documentation","Software Architect, Lead Developer, System Analyst","UML, Design Patterns, API Design","Gather requirements, Create high-level design, Develop detailed design, Review with team, Refine iteratively","Create architecture diagrams, Define interfaces, Select technologies, Document design, Conduct reviews",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['System Architecture', ' Design Patterns', ' UML']",2.0
Product Development,Product Development,983.0,creative & design skills,ui-ux,Design and Architecture,User Interface Design,"Design user interfaces for machines and software, incorporating visual, technical and functional elements that facilitate ease of access, understanding and usage. This would involve adding, removing, modifying or enhancing elements to make the user's interaction with the product as seamless as possible",ICT-DES-3008-1.2,"[""Visual Design"","" Interaction Design"","" Prototyping""]",https://en.wikipedia.org/wiki/User_interface_design,"[""UI Design"","" User Interface"","" Usability""]",3.0,"Portfolio assessment, Usability testing","Nielsen Norman Group UX Certification, Adobe Certified Expert",Designing UI for a Indian mobile banking app,High-demand,Medium,Should comply with accessibility guidelines under Rights of Persons with Disabilities Act 2016,https://www.w3.org,"User satisfaction, Task success rate, Error rate","Cluttered interfaces, Inconsistent styling, Poor navigation","UI Designer, UX Researcher, Frontend Developer","Wireframing, Prototyping, Visual Design","Research user needs, Create wireframes, Develop prototypes, Test with users, Handoff to development","Sketch ideas, Create mockups, Define design system, Collaborate with developers, Validate implementations",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Visual Design', ' Interaction Design', ' Prototyping']",2.0
Software and Applications,Software and Applications,984.0,technical skills,digital-technology related skills,Design and Architecture,Embedded Systems Interface Design,"Design and set up interface and interconnections from or among sensors, through a network, to a main location, to enable transmission of information",ICT-DES-4002-1.1,"[""Embedded Programming"","" Hardware Interfacing"","" Sensor Networks""]",https://en.wikipedia.org/wiki/Embedded_system,"[""Embedded Systems"","" Interface Design"","" Sensor Networks""]",4.0,"Hardware testing, Design reviews","Embedded Systems Certification by IIT, ARM Certified Professional",Designing sensor interfaces for Indian automotive systems,Emerging,High,Must comply with automotive safety standards under AIS guidelines,https://www.arm.com,"System reliability, Data accuracy, Power consumption","Signal interference, Poor error handling, Inadequate sampling","Embedded Systems Engineer, Hardware Designer, IoT Architect","Circuit Design, Communication Protocols, Firmware","Define interface requirements, Select components, Design circuits, Develop firmware, Test integration","Select sensors, Design PCB, Write driver code, Test prototypes, Document interfaces",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Embedded Programming', ' Hardware Interfacing', ' Sensor Networks']",3.0
Infrastructure,Infrastructure,980.0,technical skills,digital-technology related skills,Design and Architecture,Solution Architecture,"Design or refine a solution blueprint or structure to guide the development of IT solutions in hardware, software, processes or related components, to meet current and future business needs. The solution architecture developed may lead to broad or specific changes to IT services, operating models and processes, and should provide a framework to guide the development and modification of solutions",ICT-DES-4006-1.1,"[""Enterprise Architecture"","" System Integration"","" Cloud Solutions""]",https://en.wikipedia.org/wiki/Solution_architecture,"[""Solution Architecture"","" System Design"","" Integration""]",5.0,"Architecture presentations, Case studies","TOGAF, AWS Solutions Architect",Designing cloud solutions for a Indian retail chain,High-demand,High,Must adhere to data localization requirements under DPDPA 2023,https://www.opengroup.org,"Solution scalability, Cost efficiency, Business alignment","Technology silos, Ignoring total cost of ownership, Poor vendor selection","Solution Architect, Enterprise Architect, Cloud Consultant","Cloud Computing, API Management, Microservices","Analyze business needs, Evaluate technologies, Design solution, Create roadmap, Guide implementation","Assess current state, Define future state, Select platforms, Design architecture, Review implementations",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Enterprise Architecture', ' System Integration', ' Cloud Solutions']",3.0
Infrastructure,Infrastructure,980.0,leadership & management skills,strategic thinking,Design and Architecture,Enterprise Architecture,"Operationalise a business strategy on the planning and development of business structures and models to facilitate the evolution of a business to its desired future state. This involves the review and prioritisation of market trends, evaluation of alternative strategies, as well as the strategic evaluation and utilisation of enterprise capability and technology to support business requirements",ICT-SNA-4012-1.1,"[""Business Strategy"","" IT Governance"","" Capability Planning""]",https://en.wikipedia.org/wiki/Enterprise_architecture,"[""Enterprise Architecture"","" Business Alignment"","" Strategy""]",5.0,"Strategy documents, Stakeholder feedback","TOGAF, Zachman Framework Certification",Developing EA for a large Indian public sector undertaking,High-demand,High,Governed by IT governance guidelines issued by MeitY,https://www.opengroup.org,"Strategic alignment, Governance compliance, Investment optimization","Isolated initiatives, Lack of executive buy-in, Poor communication","Enterprise Architect, CIO, Business Strategist","Business Modeling, Governance, Technology Trends","Define business strategy, Assess current architecture, Develop target architecture, Create transition plan, Govern implementation","Conduct workshops, Document artifacts, Establish governance, Monitor changes, Ensure compliance",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Business Strategy', ' IT Governance', ' Capability Planning']",3.0
Infrastructure,Infrastructure,980.0,technical skills,digital-technology related skills,Design and Architecture,Systems Design,"Design systems to meet specified business and user requirements that are compatible with established system architectures, as well as organisational and performance standards",ICT-SYS-4008-1.1,"[""System Requirements"","" Hardware Specifications"","" Performance Engineering""]",https://en.wikipedia.org/wiki/Systems_design,"[""Systems Design"","" Performance"","" Scalability""]",4.0,"Design specifications, Performance tests","INCOSE CSEP, IEEE CSDP",Designing high-performance systems for Indian stock exchanges,High-demand,High,Must comply with SEBI regulations for market infrastructure institutions,https://www.ieee.org,"System throughput, Latency, Availability","Bottlenecks, Single points of failure, Inadequate capacity planning","Systems Architect, Performance Engineer, DevOps Engineer","Capacity Planning, Load Testing, Fault Tolerance","Gather requirements, Define architecture, Specify components, Validate design, Optimize performance","Define SLAs, Select hardware, Design for scalability, Plan for redundancy, Test under load",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['System Requirements', ' Hardware Specifications', ' Performance Engineering']",3.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,digital & data skills,aiml,Development and Implementation,Intelligent Reasoning,"Design and build intelligent machine reasoning systems that can integrate, make sense of, and act upon heterogeneous sensory information sources, using domain knowledge accumulated in respective industries",ICT-ACE-4030-1.1,"[""Machine Learning"","" Knowledge Representation"","" Semantic Reasoning""]",https://en.wikipedia.org/wiki/Reasoning_system,"[""Intelligent Reasoning"","" AI"","" Knowledge Graphs""]",5.0,"Algorithm accuracy, Project outcomes","IIT AI Certification, NVIDIA DLI AI",Building reasoning systems for Indian healthcare diagnostics,Futuristic,High,Must comply with medical device regulations under CDSCO,https://www.nvidia.com,"Reasoning accuracy, Inference speed, Domain applicability","Poor knowledge graphs, Biased training data, Inadequate validation","AI Research Scientist, Data Scientist, Domain Expert","Machine Learning, Logic Programming, Ontology","Collect domain knowledge, Build knowledge base, Develop reasoning algorithms, Test with experts, Deploy system","Acquire data, Model knowledge, Train algorithms, Evaluate performance, Integrate with applications",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Machine Learning', ' Knowledge Representation', ' Semantic Reasoning']",3.0
Digital and Data Analytics,Digital and Data Analytics,937.0,technical skills,digital-technology related skills,Development and Implementation,Configuration Tracking,"Track systematically and manage changes and revisions in software projects to ensure that all changes are accounted for and to protect assets against unauthorized change, diversion and inappropriate use",ICT-DIT-1004-1.2,"[""Version Control"","" Change Management"","" Release Engineering""]",https://en.wikipedia.org/wiki/Version_control,"[""Configuration Tracking"","" Version Control"","" Change Management""]",3.0,"Tool proficiency tests, Audit trails","Git Certification, ITIL Foundation",Managing code versions for a Indian software team,High-demand,Medium,Essential for audit compliance under ISO 27001,https://git-scm.com,"Change success rate, Rollback efficiency, Audit compliance","No branching strategy, Poor commit messages, Ignoring conflicts","DevOps Engineer, Release Manager, Configuration Manager","Git, SVN, Branching Strategies","Establish version control policy, Create repositories, Train team, Monitor changes, Enforce standards","Initialize repos, Create branches, Merge code, Resolve conflicts, Tag releases",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Version Control', ' Change Management', ' Release Engineering']",2.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,digital & data skills,data analytics,Development and Implementation,Data Engineering,"Develop and implement efficient and stable processes to collect, store, extract, transform, load and integrate data at various stages in the data pipeline. This also involves processing varying amounts of data from a variety of sources and preparing data in a structure that is easily access and analysed according to business requirements",ICT-DIT-2005-1.1,"[""ETL"","" Data Pipelines"","" Big Data Technologies""]",https://en.wikipedia.org/wiki/Data_engineering,"[""Data Engineering"","" ETL"","" Data Pipelines""]",4.0,"Pipeline efficiency, Data quality tests","Google Cloud Data Engineer, Azure Data Engineer",Building data pipelines for a Indian e-commerce company,High-demand,High,Must ensure data processing complies with DPDPA 2023,https://cloud.google.com,"Data latency, Pipeline reliability, Data quality","Poor schema design, Inadequate error handling, No data lineage","Data Engineer, Big Data Architect, ETL Developer","SQL, Python, Apache Spark","Design pipeline architecture, Develop ETL jobs, Test data quality, Monitor performance, Optimize costs","Extract data, Transform data, Load data, Monitor pipelines, Troubleshoot issues",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['ETL', ' Data Pipelines', ' Big Data Technologies']",3.0
Cyber Security,Cyber Security,978.0,compliance & regulatory skills,industry compliance,Development and Implementation,Security Assessment and Testing,"Conduct threat modelling, vulnerability assessment and penetration testing to reveal vulnerabilities or lapses in the existing systems or security mechanisms and evaluate the extent to which systems are able to protect the organisation's data and maintain functionality as intended",ICT-DIT-2012-1.1,"[""Penetration Testing"","" Vulnerability Scanning"","" Threat Modeling""]",https://en.wikipedia.org/wiki/Penetration_test,"[""Security Testing"","" Penetration Testing"","" Vulnerability Assessment""]",4.0,"Technical tests, Audit reports","CEH, OSCP, CISSP",Conducting security tests for Indian government portals,High-demand,High,Mandated by CERT-In directives for critical infrastructure,https://www.offensive-security.com,"Vulnerabilities found, False positive rate, Remediation time","Incomplete scope, Lack of business context, Poor reporting","Penetration Tester, Security Analyst, CISO","Kali Linux, Metasploit, Burp Suite","Define scope, Gather intelligence, Conduct tests, Analyze results, Report findings","Plan engagement, Scan vulnerabilities, Exploit weaknesses, Document findings, Recommend fixes",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Penetration Testing', ' Vulnerability Scanning', ' Threat Modeling']",3.0
Operations and Support,Operations and Support,982.0,technical skills,digital-technology related skills,Development and Implementation,Software Testing,"Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria",ICT-DIT-2015-1.2,"[""Test Automation"","" Manual Testing"","" Quality Assurance""]",https://en.wikipedia.org/wiki/Software_testing,"[""Software Testing"","" QA"","" Test Automation""]",3.0,"Defect detection, Test case effectiveness","ISTQB, Certified Selenium Tester",Testing software for a Indian startup,High-demand,Medium,Critical for product liability under Consumer Protection Act 2019,https://www.istqb.org,"Defect density, Test coverage, Automation percentage","Inadequate test data, Poor requirement understanding, No regression testing","QA Engineer, Test Manager, Automation Engineer","Selenium, JUnit, Test Planning","Analyze requirements, Design test cases, Execute tests, Report defects, Retest fixes","Write test plans, Create test cases, Execute manual tests, Automate tests, Report bugs",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Test Automation', ' Manual Testing', ' Quality Assurance']",2.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,digital & data skills,aiml,Development and Implementation,Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks. This also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issues or requirements",ICT-DIT-3001-1.1,"[""Algorithm Design"","" Simulation"","" Mathematical Modeling""]",https://en.wikipedia.org/wiki/Computational_model,"[""Computational Modeling"","" Algorithms"","" Simulation""]",5.0,"Model accuracy, Project complexity","IIT Computational Science Certification, COMSOL Certification",Developing models for Indian climate prediction,Emerging,High,Subject to environmental data regulations,https://www.comsol.com,"Model precision, Computational efficiency, Predictive power","Overfitting, Poor assumptions, Inadequate validation","Data Scientist, Research Scientist, Mathematician","Python, MATLAB, Numerical Methods","Define problem, Formulate model, Implement algorithm, Validate results, Deploy solution","Gather data, Select algorithms, Code models, Run simulations, Analyze outputs",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Algorithm Design', ' Simulation', ' Mathematical Modeling']",3.0
Operations and Support,Operations and Support,982.0,technical skills,digital-technology related skills,Development and Implementation,Applications Development,"Develop applications based on the design specifications; encompassing coding, testing, debugging, documenting and reviewing and/or refining it across the application development stages in accordance with defined standards for development and security. The complexity of the application may range from a basic application to a context-aware and/or augmented reality application that incorporates predictive behaviour analytics, geo-spatial capabilities and other appropriate algorithms. The technical skill includes the analysis and possibly the reuse, improvement, reconfiguration, addition or integration of existing and/or new application components.",ICT-DIT-3002-1.2,"[""Programming"","" Debugging"","" Software Development Lifecycle""]",https://en.wikipedia.org/wiki/Software_development,"[""Application Development"","" Coding"","" Debugging""]",4.0,"Code reviews, Project delivery","Oracle Java Certifications, Microsoft MCSD",Developing applications for Indian banking sector,High-demand,High,Must follow secure coding guidelines from CERT-In,https://www.oracle.com,"Code quality, On-time delivery, Defect rate","Security vulnerabilities, Poor performance, Lack of documentation","Software Developer, Tech Lead, Application Architect","Java, .NET, Spring Boot","Gather requirements, Design solution, Write code, Test application, Deploy production","Write code, Unit test, Debug issues, Review code, Deploy updates",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Programming', ' Debugging', ' Software Development Lifecycle']",3.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,digital & data skills,data analytics,Development and Implementation,Data Visualisation,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience",ICT-DIT-3006-1.1,"[""Dashboard Design"","" Reporting"","" Data Storytelling""]",https://en.wikipedia.org/wiki/Data_visualization,"[""Data Visualization"","" Dashboards"","" Reporting""]",3.0,"Dashboard usability, Insight clarity","Tableau Certified, Power BI Certification",Creating dashboards for Indian sales teams,High-demand,Medium,Should ensure data accuracy as per financial reporting standards,https://www.tableau.com,"User engagement, Insightfulness, Report accuracy","Misleading charts, Cluttered designs, Poor performance","Data Analyst, BI Developer, Business User","Tableau, Power BI, D3.js","Understand user needs, Prepare data, Design visuals, Implement dashboard, Gather feedback","Connect data sources, Create charts, Design layouts, Publish reports, Train users",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Dashboard Design', ' Reporting', ' Data Storytelling']",2.0
Product Development,Product Development,983.0,technical skills,digital-technology related skills,Development and Implementation,Quality Engineering,"Create, deploy and maintain quality-related systems, processes and tools to establish an environment that supports process and product quality",ICT-DIT-3011-1.1,"[""Test Strategy"","" Process Improvement"","" Quality Metrics""]",https://en.wikipedia.org/wiki/Quality_engineering,"[""Quality Engineering"","" Process Quality"","" Testing""]",4.0,"Process audits, Quality metrics","ASQ CQE, Six Sigma Black Belt",Improving quality processes in Indian automotive software,High-demand,High,Required for ISO 9001 certification in manufacturing,https://asq.org,"Defect escape rate, Process adherence, Customer satisfaction","Ignoring root cause, No continuous improvement, Poor measurement","Quality Manager, Process Engineer, QA Lead","Six Sigma, CMMI, Root Cause Analysis","Define quality standards, Measure current performance, Analyze gaps, Improve processes, Control quality","Audit processes, Collect metrics, Analyze defects, Implement improvements, Train teams",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Test Strategy', ' Process Improvement', ' Quality Metrics']",3.0
Cyber Security,Cyber Security,978.0,compliance & regulatory skills,industry compliance,Development and Implementation,Security Programme Management,"Develop and manage security solutions, products and services through technology innovation, experimentation and collaboration. This includes security programme planning, developing and testing new security capabilities and implementing security technologies and programmes",ICT-DIT-3013-1.1,"[""Security Governance"","" Risk Management"","" Compliance""]",https://en.wikipedia.org/wiki/Information_security_management,"[""Security Program Management"","" GRC"","" Cyber Security""]",5.0,"Program reviews, Compliance audits","CISM, CRISC, CISA",Managing security program for a Indian IT company,High-demand,High,Mandated by ISO 27001 and RBI cyber security framework,https://www.isaca.org,"Compliance status, Security incidents, Program maturity","Lack of resources, Poor risk assessment, No continuous monitoring","CISO, Security Manager, GRC Consultant","Risk Assessment, Policy Development, Audit","Define security strategy, Assess risks, Develop policies, Implement controls, Monitor compliance","Conduct risk assessment, Write policies, Implement security tools, Train staff, Report to management",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Security Governance', ' Risk Management', ' Compliance']",3.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,technical skills,digital-technology related skills,Development and Implementation,System Integration,"Develop and implement a roadmap and specific integration solutions to facilitate integration of various ICT components and optimise inter-operability of systems and their interfaces. This includes the integration of various architectural components such as networks, servers, system platforms and their interfaces",ICT-DIT-3016-1.1,"[""API Development"","" Middleware"","" Enterprise Service Bus""]",https://en.wikipedia.org/wiki/System_integration,"[""System Integration"","" APIs"","" Middleware""]",4.0,"Integration testing, Project success","IBM Integration Developer, MuleSoft Certified",Integrating systems for Indian government services,High-demand,High,Must ensure interoperability as per India Enterprise Architecture framework,https://www.mulesoft.com,"Integration reliability, Data consistency, Project timeline","Poor interface design, No error handling, Inadequate testing","Integration Architect, Middleware Developer, API Designer","SOAP, REST, ESB","Assess systems, Design interfaces, Develop connectors, Test integration, Monitor performance","Analyze requirements, Design APIs, Develop services, Test end-to-end, Deploy solutions",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['API Development', ' Middleware', ' Enterprise Service Bus']",3.0
Product Development,Product Development,983.0,technical skills,digital-technology related skills,Development and Implementation,Agile Software Development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user",ICT-DIT-3019-1.1,"[""Scrum"","" Kanban"","" Continuous Delivery""]",https://en.wikipedia.org/wiki/Agile_software_development,"[""Agile Development"","" Scrum"","" Iterative Development""]",4.0,"Team velocity, Sprint reviews","Scrum Alliance CSM, PMI-ACP",Implementing agile in Indian software projects,High-demand,Medium,Follows industry best practices for software development,https://www.scrum.org,"Sprint success, Team velocity, Customer satisfaction","Waterfall mindset, No customer involvement, Poor retrospectives","Scrum Master, Product Owner, Agile Coach","User Stories, Sprint Planning, Retrospectives","Plan sprint, Develop increment, Review with customer, Reflect and improve","Write user stories, Plan sprint, Daily standups, Demo increments, Retrospect",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Scrum', ' Kanban', ' Continuous Delivery']",2.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,technical skills,digital-technology related skills,Development and Implementation,Cloud Computing,Implement cloud solutions to enhance business performance and security of IT systems,ICT-DIT-3020-1.1,"[""Cloud Architecture"","" DevOps"","" Infrastructure as Code""]",https://en.wikipedia.org/wiki/Cloud_computing,"[""Cloud Computing"","" AWS"","" Azure""]",4.0,"Architecture design, Cost management","AWS Solutions Architect, Azure Administrator",Migrating applications to cloud for Indian businesses,High-demand,High,Must comply with data localization under DPDPA 2023,https://aws.amazon.com,"Cost optimization, System availability, Security compliance","Poor cost control, No disaster recovery, Inadequate security","Cloud Architect, DevOps Engineer, System Administrator","Terraform, Kubernetes, Cloud Formation","Assess workloads, Design architecture, Migrate applications, Optimize performance, Manage costs","Provision resources, Configure networks, Deploy applications, Monitor performance, Ensure security",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Cloud Architecture', ' DevOps', ' Infrastructure as Code']",3.0
Infrastructure,Infrastructure,980.0,technical skills,digital-technology related skills,Development and Implementation,Continuous Integration and Continuous Deployment,"Manage the planning, building, testing and integration of codes, and deployment of software changes and updates into a live environment",ICT-DIT-3023-1.2,"[""CI CD Pipelines"","" Automation"","" DevOps""]",https://en.wikipedia.org/wiki/CI/CD,"[""CI CD"","" DevOps"","" Automation""]",4.0,"Pipeline efficiency, Deployment frequency","Jenkins Certification, Docker Certified Associate",Implementing CI CD for a Indian product company,High-demand,Medium,Critical for maintaining software quality and rapid updates,https://www.jenkins.io,"Deployment frequency, Change failure rate, Lead time","Flaky tests, No rollback plan, Poor environment management","DevOps Engineer, Build Engineer, SRE","Jenkins, GitLab CI, Ansible","Automate build, Run tests, Deploy to staging, Perform checks, Release production","Write scripts, Configure pipelines, Monitor builds, Troubleshoot failures, Optimize workflows",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['CI CD Pipelines', ' Automation', ' DevOps']",2.0
Cyber Security,Cyber Security,978.0,compliance & regulatory skills,industry compliance,Development and Implementation,Network Security,"Design and configure network systems to ensure the integrity of network infrastructure through the use of appropriate protection, detection and response mechanisms",ICT-DIT-3024-1.1,"[""Firewalls"","" Intrusion Detection"","" VPN""]",https://en.wikipedia.org/wiki/Network_security,"[""Network Security"","" Firewalls"","" IDS""]",4.0,"Network audits, Security tests","CCNA Security, CompTIA Security+",Securing networks for Indian financial institutions,High-demand,High,Mandated by RBI cyber security guidelines for banks,https://www.cisco.com,"Security incidents, Network uptime, Compliance status","Open ports, Weak encryption, No monitoring","Network Security Engineer, CISO, Network Administrator","Cisco ASA, Palo Alto, Snort","Design secure network, Implement controls, Monitor traffic, Respond to incidents, Update policies","Configure firewalls, Set up VPN, Monitor logs, Apply patches, Conduct audits",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Firewalls', ' Intrusion Detection', ' VPN']",3.0
Infrastructure,Infrastructure,980.0,technical skills,industry-specific,Development and Implementation,Radio Frequency Engineering,"Design, deploy and maintain radio frequency infrastructure for IT systems and wireless communication networks",ICT-DIT-3027-1.1,"[""Wireless Communication"","" Antenna Design"","" Spectrum Management""]",https://en.wikipedia.org/wiki/Radio_frequency_engineering,"[""RF Engineering"","" Wireless"","" Antennas""]",5.0,"Signal measurements, Design reviews","IEEE RF Certification, iNARTE EMC Engineer",Designing RF systems for Indian telecom providers,Specialized,High,Regulated by TRAI and WPC for spectrum usage,https://www.ieee.org,"Signal strength, Interference levels, Network coverage","Impedance mismatch, Interference, Poor antenna placement","RF Engineer, Network Planner, Telecom Engineer","Antenna Theory, Propagation Models, EMC","Plan network, Design antennas, Perform simulations, Test signals, Optimize performance","Conduct site surveys, Design circuits, Measure signals, Troubleshoot issues, Ensure compliance",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Wireless Communication', ' Antenna Design', ' Spectrum Management']",3.0
General Management,General Management,857.0,digital & data skills,aiml,Development and Implementation,Self-Learning Systems,Design and develop self-learning systems using reinforcement learning and evolutionary learning techniques,ICT-DIT-3028-1.1,"[""Reinforcement Learning"","" Neural Networks"","" Adaptive Systems""]",https://en.wikipedia.org/wiki/Machine_learning,"[""Self-Learning"","" AI"","" Reinforcement Learning""]",5.0,"Algorithm performance, Learning efficiency","IIT Machine Learning Certification, NVIDIA DLI",Developing self-learning algorithms for Indian robotics,Futuristic,High,Subject to ethical AI guidelines from NITI Aayog,https://www.nvidia.com,"Learning speed, Task performance, Generalization","Poor reward design, No safety measures, Overfitting","AI Researcher, Data Scientist, Robotics Engineer","Python, TensorFlow, Reinforcement Learning","Define environment, Design agent, Train model, Evaluate performance, Deploy system","Code algorithms, Train models, Test in simulation, Deploy in real world, Monitor learning",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Reinforcement Learning', ' Neural Networks', ' Adaptive Systems']",3.0
Product Development,Product Development,983.0,digital & data skills,data analytics,Development and Implementation,Data Visualisation and Storyboarding,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience",ICT-DIT-3031-1.1,"[""Data Storytelling"","" Dashboarding"","" Presentation Skills""]",https://en.wikipedia.org/wiki/Data_visualization,"[""Data Storytelling"","" Visualization"","" Dashboards""]",3.0,"Story effectiveness, Audience engagement","Tableau Certified, Storytelling with Data Workshop",Creating data stories for Indian management teams,High-demand,Medium,Important for clear communication in financial reporting,https://www.tableau.com,"Audience understanding, Decision impact, Clarity of message","Too much data, Poor narrative, No key insights","Data Analyst, BI Consultant, Business Strategist","Presentation Skills, Design Thinking, Data Analysis","Understand audience, Curate data, Design narrative, Create visuals, Present story","Gather data, Create charts, Write narrative, Practice delivery, Gather feedback",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Data Storytelling', ' Dashboarding', ' Presentation Skills']",2.0
Software and Applications,Software and Applications,984.0,technical skills,industry-specific,Development and Implementation,Embedded Systems Programming,Program an embedded system using permitted programming interfaces provided by the system to support creation of devices that do not operate on traditional operating systems,ICT-DIT-4007-1.1,"[""Microcontrollers"","" Real-time Systems"","" Firmware Development""]",https://en.wikipedia.org/wiki/Embedded_system,"[""Embedded Programming"","" Firmware"","" Microcontrollers""]",4.0,"Code efficiency, Hardware testing","ARM Certified Programmer, Embedded C Certification",Programming embedded systems for Indian automotive,Emerging,High,Must follow functional safety standards like ISO 26262,https://www.arm.com,"Code performance, Memory usage, Power consumption","Hardware constraints, Race conditions, Poor interrupt handling","Embedded Developer, Firmware Engineer, Hardware Designer","C, Assembly, RTOS","Write code, Cross-compile, Flash device, Test on hardware, Optimize performance","Write drivers, Implement protocols, Debug hardware, Test real-time performance, Document code",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Microcontrollers', ' Real-time Systems', ' Firmware Development']",3.0
Data and Artificial Intelligence,Data and Artificial Intelligence,979.0,digital & data skills,aiml,Development and Implementation,Computer Vision Technology,Develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems,ICT-DIT-4022-1.1,"[""Image Processing"","" Object Detection"","" Deep Learning""]",https://en.wikipedia.org/wiki/Computer_vision,"[""Computer Vision"","" Image Analysis"","" AI""]",5.0,"Accuracy metrics, Project outcomes","IIT Computer Vision Course, NVIDIA DLI",Developing vision systems for Indian manufacturing quality control,Emerging,High,Subject to accuracy requirements in automated inspections,https://www.nvidia.com,"Detection accuracy, Processing speed, False positive rate","Poor lighting, Inadequate training data, Overfitting","Computer Vision Engineer, AI Specialist, Research Scientist","OpenCV, TensorFlow, Image Processing","Collect images, Annotate data, Train model, Evaluate performance, Deploy system","Acquire images, Preprocess data, Train neural networks, Test algorithms, Integrate with cameras",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Image Processing', ' Object Detection', ' Deep Learning']",3.0
