"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine Calculations","Marine Calculations","Marine Engineering Calculations","Apply mathematical formulae and principles of numerical analysis to marine engineering applications","MAR-MCA-2001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine Calculations","Marine Calculations","Naval Architecture Calculations","Apply mathematical and physics calculations to specify capacity, trim and stability details, and ensure seaworthiness of ships, rigs and/or conversions","MAR-MCA-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Computer Numeric Control Operations","Programme and configure computer numerical control machines and equipment to manufacture marine equipment and ship, rig and/or conversion components","MAR-MMF-1002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Forming","Fabricate components through processes using suitable compression, tension, shear, combined and/or other types of stresses to cause material deformation","MAR-MMF-1003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Joining and Welding","Fabricate components through the application of heat, pressure and/or friction to join structures together","MAR-MMF-1004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Lift Planning and Management","Implement rigging procedures to ensure safe operation of lifting gears by employing prescribed slinging techniques depending upon load and external conditions","MAR-MMF-1006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Surface Preparation and Protection","Apply appropriate surface preparation and protection techniques, based on surface material, operating conditions, and maintenance requirements, against exposure to marine environments","MAR-MMF-1011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Non-destructive Testing","Execute non-destructive tests to ensure structural integrity, insulation resistance, continuity and satisfactory performance of electrical equipment and installations against organisational and regulatory standards and requirements","MAR-MMF-2008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Marine Manufacturing","Marine Manufacturing","Scaffolding","Build work platforms using pre-fitted frames and staging materials to facilitate activities that require working aloft","MAR-MMF-2010-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Heat Transfer System Design","Design heating, ventilation and air conditioning systems to maintain a specific air quality in the accommodation spaces of ships, rigs and/or conversions as well as in the refrigerated compartments for perishables in alignment with regulations","MAR-MSD-2007-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Instrumentation and Control System Design","Design instrumentation and control systems to measure and control the process variables of operating equipment and systems by interpreting equipment and system parameters","MAR-MSD-2009-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Marine Design Customisation","Customise engineering solutions to meet exceptional customers' requirements beyond typical scoping of existing product portfolios and/or capabilities","MAR-MSD-2010-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Ballast System Design","Design ballast systems for ships, rigs and/or conversions by interpreting trim and stability tables and applying principles of fluid dynamics, pumping and piping systems, in compliance with regulations","MAR-MSD-3001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Cargo System Design","Design cargo handling systems for ships and/or conversions to ensure efficient and controlled loading, discharging and treatment of specific cargoes","MAR-MSD-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Cooling System Design","Design cooling systems for ships, rigs and/or conversions to ensure sufficient cooling for engines, auxiliary equipment and fluids by evaluating individual and composite systems cooling requirements, cooling medium capacities, pump and piping system specifications and types of cooling media required","MAR-MSD-3005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Fuel and Lubrication System Design","Design fuel and lube systems for propulsion, power generation and lubrication of machineries installed on ships, rigs and/or conversions including pump and piping components, storage tank designs, heat exchangers and safeties through detailed understanding of fuel and lube properties","MAR-MSD-3006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Heating, Ventilation and Air Conditioning System Design","Design heat transfer systems by applying concepts of thermodynamics in marine engineering to provide for the heating requirements of ships, rigs and/or conversions","MAR-MSD-3008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Marine Equipment Material Selection","Select appropriate materials to be used for marine equipment and components based on material property applications and industry requirements","MAR-MSD-3011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Power Generation System Design","Design power plans for all equipment and systems on-board ships, rigs and/or conversions and integrated power generation systems and auxiliaries to cater to power requirements","MAR-MSD-3012-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Propulsion System Design","Design propulsion systems and auxiliaries based on size, cargo carrying capacity and type of ship","MAR-MSD-3013-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Pump and Piping Design","Apply hydraulic and fluid dynamics principles to design efficient pump and piping systems for liquids and gases by understanding principles of fluid flow, interaction between fluid layers and pipe materials, and losses in transmission","MAR-MSD-3014-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Safety System Design","Design of safety systems for ships, rigs and/or conversions to ensure readiness against emergency incidents on board","MAR-MSD-3015-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Manufacturing","Manufacturing","853","Technical Skills","Marine and Offshore System Design","Marine and Offshore System Design","Communication and Navigation System Design","Design navigation and communication systems in compliance with international regulations","MAR-MSD-4003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Product Finalisation","Product Finalisation","Component Assembly","Produce structures from smaller components by interpreting hull structure drawings, mechanical equipment drawings, electrical drawings and other technical drawings applicable to marine equipment, ships, rigs and conversions","MAR-PFI-1001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Product Finalisation","Product Finalisation","Installation Planning and Execution","Create suitable foundations and connections among dependent machineries on board ships, rigs and/or conversions according to product specifications and manufacturers' recommendations in alignment with technical drawings","MAR-PFI-1002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Product Finalisation","Product Finalisation","Launch Planning and Management","Execute launching procedures for ships, rigs and/or conversions by employing gravitational, mechanical, floating, airbag and other launching techniques","MAR-PFI-3003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Production Management","Production Management","Manufacturing Workflow Management","Manage manufacturing operations to ensure timely and quality delivery of production outcomes","MAR-OPR-4001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Project Management","Project Management","Project Coordination","Coordinate project activities and workflows in collaboration with project teams and relevant stakeholders, as determined by project plans, to fulfil expected project outcomes and objectives","MAR-PMT-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Manufacturing","Manufacturing","853","Technical Skills","Project Management","Project Management","Project Quality Management","Manage project processes and deliverables, according to stakeholder requirements and objectives, to improve customer satisfaction levels","MAR-PMT-3004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Quality Management","Quality Management","Commissioning Coordination","Conduct product performance examinations to conclude manufacturing and transit ships and rigs into operational modes","MAR-QUA-2001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Quality Management","Quality Management","Electrical Testing","Execute non-destructive electrical tests to ensure insulation-resistance, continuity, and satisfactory performance of electrical equipment and installations against organisational and regulatory standards and requirements","MAR-QUA-2003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Quality Management","Quality Management","Continuous Quality Improvement","Implement on-going efforts to improve products, services, and/or processes through leveraging on opportunities to streamline work, increase quality and reduce waste","MAR-QUA-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Quality Management","Quality Management","Quality Engineering Integration","Incorporate quality principles and methodologies into engineering processes, products, and services from conception to disposal","MAR-QUA-3004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Repair and Maintenance","Repair and Maintenance","Marine Auxiliary System Maintenance","Diagnose and rectify systems and machinery components on board ships and rigs","MAR-RNM-1001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Technical and Engineering","Technical and Engineering","903","Technical Skills","Repair and Maintenance","Repair and Maintenance","Marine Equipment and System Maintenance","Formulate and execute corrective and/or preventative maintenance activities for marine equipment and systems used on ships and rigs","MAR-RNM-2002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Research and Development","Research and Development","Green Ship Design","Formulate quantitative environmental models, product designs and waste reduction plans in order to drive clean energy and/or green shipping initiatives","MAR-RND-2002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Engineering","Production Engineering","1007","Technical Skills","Supply Chain Management","Supply Chain Management","Material Inspection","Verify correctness and usability of vendor products and services through specification-matching and quality checks","MAR-SCL-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Systems Engineering","Systems Engineering","System Architecture Design","Synthesise system architecture baselines for ships, rigs, conversions and/or automated production lines to satisfy stakeholder requirements","MAR-SYS-3003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Systems Engineering","Systems Engineering","System Configuration Management","Establish consistency in performance, functional, and physical attributes throughout a system's life cycle","MAR-SYS-3004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Systems Engineering","Systems Engineering","Interface Management","Perform interface management activities to integrate systems on ships, rigs and/or conversions","MAR-SYS-3005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Technical Drawing","Technical Drawing","Electrical Drawing","Create and interpret electrical drawings based on design specifications to guide power planning and installation of electrical systems for ships, rigs and/or conversions","MAR-TDR-2001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Technical Drawing","Technical Drawing","Equipment Drawing","Create equipment drawings based on design specifications representing working pieces of machinery for ships, rigs, conversions and/or equipment sub-components","MAR-TDR-2002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Technical Drawing","Technical Drawing","Pipeline Drawing","Create pipeline drawings to assist in production and maintenance activities, based on structural and arrangement drawings, equipment lists and consideration of fluids to be carried and pressure to be handled","MAR-TDR-2003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Design and Engineering","Design and Engineering","1005","Technical Skills","Technical Drawing","Technical Drawing","Structural and Arrangement Drawing","Create structural and arrangement drawings to guide production and manufacturing processes","MAR-TDR-2004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Dockside Tower Crane Operations","Carry out dockside tower crane operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Forklift Operations","Carry out forklift operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Marine Electrical Installation","Carry out electrical operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Marine Mechanical Installation","Carry out mechanical installation operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Painting and Blasting","Carry out painting and blasting operations on ships, rigs and conversions according to workplace safety and health legislative requirements","MAR-WSH-1007-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Pipe Fitting","Carry out steel fitting operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Self-Propelled Platform Operations","Carry out self-propelled platform operations in the marine industry according to workplace safety and health legislative requirements","MAR-WSH-1009-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Steel Fitting","Carry out steel fitting operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1010-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Tank Cleaning","Carry out tank cleaning on ships according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Workplace Safety and Health","Workplace Safety and Health","Workplace Safety and Health for Welding","Carry out welding operations on ships, rigs and conversions according to workplace safety and health (WSH) legislative requirements","MAR-WSH-1012-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Media Business Management","Media Business Management","1014","Technical Skills","Analytics and Customer Insights","Analytics and Customer Insights","Business Insights","Define and operationalise business metrics and hypotheses to enable data analytics and business insight generation to inform business and strategy","MED-ACE-4010-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","AI Content Generation for Music","Produce AI-generated music","MED-MED-3002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","AI Content Generation for Photorealistic Images","Produce AI-generated photorealistic images","MED-MED-3003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","AI Content Generation for Script Development","Generate AI-assisted story elements for script development","MED-MED-3004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","AI Content Generation for Videos","Produce AI-generated videos","MED-MED-3005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","AI Content Generation for Visual Art Images","Produce AI-generated Visual Art images","MED-MED-3006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Artificial Intelligence","Artificial Intelligence","Bias Identification and Mitigation","Idenitfy and mitigate AI bias in content database","MED-MED-3011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Production and Management","Content Production and Management","1010","Technical Skills","Conceptualisation","Conceptualisation","Concept Creation","Develop the initial concepts or ideas for creation of media products and platforms","MED-DES-3020-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Technical Services","Production Technical Services","1016","Technical Skills","Conceptualisation","Conceptualisation","Immersive Design","Define the creative vision and techniques for creative immersive experiences and conceive content designs to be delivered through the use of immersive media","MED-DES-4021-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Conceptualisation","Conceptualisation","Creative Execution","Interpret and execute the creative vision of the production","MED-MED-3020-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Virtual Set Design and Construction","Create virtual sets, including set design, asset creation, and integration of virtual and physical elements by collaborating with production designers and art directors","MED-MED-1086-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Creative Video Editing","Arrange selected video footage in a sequential order that follows the narratives in the script and perform edits to comply with overall creative and technical requirements","MED-MED-3021-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Digital Audio Workstation Sound Editing","Employ sound editing tools for a production using a digital audio workstation","MED-MED-3028-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Technical Video Editing","Arrange selected video footage in a sequential order that follows the narratives in the script and perform edits to comply with overall creative and technical requirements","MED-MED-3078-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Creative Video Editing for Formats and Genres for Documentaries","Edit the structuring for documentaries","MED-MED-4022-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Creative Video Editing for Formats and Genres for Fiction Narrative","Edit the structuring for various fiction genres","MED-MED-4023-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Creative Video Editing for Formats and Genres for Non-scripted Formats","Edit the structuring for non-scripted formats","MED-MED-4024-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","High Dynamic Range (HDR) Video","Manage workflow for creation of High Dynamic Range (HDR) video content","MED-MED-4040-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Post-Production","Content Post-Production","Image Processing for Spatial Computing","Manage the processing of images for spatial computing","MED-MED-4042-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Post Production","Content Post Production","1009","Technical Skills","Content Post-Production","Content Post-Production","Immersive Video Editing","Edit captured immersive footage into coherent and seamless immersive videos to deliver an immersive audience experience using principles of storytelling and photography","MED-MPN-3003-1.2",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Production Technical Services","Production Technical Services","1016","Technical Skills","Content Post-Production","Content Post-Production","Sound Editing","Edit, refine and arrange sound sequences to meet the creative and technical requirements of content","MED-MPN-3006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Content Post Production","Content Post Production","1009","Technical Skills","Content Post-Production","Content Post-Production","Sound Mixing","Balance the levels of combined sound elements to create audio mixes for production","MED-MPN-3007-1.2",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Content Production Continuity","Content Production Continuity","Script Supervision","Track continuity of production elements from script through shoot","MED-MED-3067-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Media Business Management","Media Business Management","1014","Technical Skills","Content Strategy and Planning","Content Strategy and Planning","Content Acquisition Management","Plan, facilitate and conduct activities to acquire content that meets the commercial objectives of the organisation","MED-MPN-3008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Media Business Management","Media Business Management","1014","Technical Skills","Content Strategy and Planning","Content Strategy and Planning","Content Commissioning","Commission content producers to develop content for the organisation and oversee commissioned projects in order to meet the creative and commercial objectives of the organisation","MED-MPN-3009-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Hair Colouring and Lightening","Perform colour mixing and application on hair to change hair colour","MED-MED-1036-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Hair Perming and Straightening","Apply chemicals and/or use equipment and tools to alter the natural structure of hair or facial hair","MED-MED-1039-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Hair Cutting and Styling","Perform hair cutting services","MED-MED-2037-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Hair Image Design","Create period-specific or character-specific hairstyles to the visual storytelling of media and film productions","MED-MED-2038-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Makeup Application","Apply or remove makeup products, with or without the use of devices to achieved desired looks, while maintaining facial skin condition","MED-MED-2052-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Makeup Image Design","Develop and conceptualise new makeup designs according to customer specifications and production themes","MED-MED-2053-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Special Effects Makeup Application","Apply or remove special effects (SFX) makeup using appropriate makeup materials, paints and chemicals according to production specifications or customer requirements","MED-MED-2069-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Costume, Hair and Make-up","Costume, Hair and Make-up","Special Effects Makeup Material Attachment","Apply, attach or remove ready-made special effects (SFX) makeup props and prosthetics using appropriate techniques, tools and materials","MED-MED-3070-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
